country,year,total_deaths,total_affected,total_damages_('000_us$),total_occurences,iso,lat,lng
Afghanistan,420889,26721,34815618,603320,210,AFG,33.93911,67.709953
Albania,76079,290,4384706,803573,38,ALB,41.153332,20.168331
Algeria,175703,8633,2507531,11814846,88,DZA,28.033886,1.659626
American Samoa,11976,130,25563,205000,6,ASM,-14.270972,-170.132217
Angola,148505,5983,8870587,12000,74,AGO,-11.202692,17.873887
Anguilla,9910,9,16400,235050,5,AIA,18.220554,-63.068615
Antigua and Barbuda,25864,13,127314,793600,13,ATG,17.060816,-61.796428
Argentina,246018,1646,15177074,15727410,123,ARG,-38.416097,-63.616672
Armenia,22095,5,420330,203275,11,ARM,40.069099,45.038189
Australia,427937,2177,16360448,73294234,214,AUS,-25.274398,133.775136
Austria,107819,798,72639,6739770,54,AUT,47.516231,14.550072
Azerbaijan,30037,68,2575271,211200,15,AZE,40.143105,47.576927
Azores Islands,9935,108,24115,159300,5,AZO,37.7412488,-25.6755944
Bahamas (the),47968,414,56053,6745100,24,BHS,25.03428,-77.39628
Bahrain,1978,111,0,0,1,BHR,26.0667,50.5577
Bangladesh,682189,634392,471530136,21893565,342,BGD,23.684994,90.356331
Barbados,25942,62,14228,107200,13,BRB,13.193887,-59.543198
Belarus,28063,74,209591,177680,14,BLR,53.709807,27.953389
Belgium,128001,4823,109983,4260132,64,BEL,50.503887,4.469936
Belize,41916,360,396525,632004,21,BLZ,17.189877,-88.49765
Benin,105992,1574,5480650,8966,53,BEN,9.30769,2.315834
Bermuda,9950,4,40,353500,5,BMU,32.3078,-64.7505
Bhutan,24039,314,87871,3500,12,BTN,27.514162,90.433601
Bolivia (Plurinational State of),212169,2392,9781967,3787718,106,BOL,-16.290154,-63.588653
Bosnia and Herzegovina,56269,48,1680966,821580,28,BIH,43.915886,17.679076
Botswana,45941,698,1598781,52050,23,BWA,-22.328474,24.684866
Brazil,515342,13350,117369425,30472381,258,BRA,-14.235004,-51.92528
Brunei Darussalam,1998,0,0,2000,1,BRN,4.535277,114.727669
Bulgaria,98189,206,71563,1420304,49,BGR,42.733883,25.48583
Burkina Faso,125915,17304,16301067,181176,63,BFA,12.238333,-1.561593
Burundi,124431,1218,4743136,15000,62,BDI,-3.373056,29.918886
Cabo Verde,35994,296,230262,4100,18,CPV,16.5388,-23.0418
Cambodia,92274,2530,24163819,1659110,46,KHM,12.565679,104.990963
Cameroon,110119,6122,1082089,5200,55,CMR,7.369722,12.354722
Canada,265682,1845,686614,38138012,133,CAN,56.130366,-106.346771
Canary Is,15996,82,8136,1869923,8,SPI,28.2915637,-16.6291304
Cayman Islands (the),14029,2,300,3496580,7,CYM,19.3133,-81.2546
Central African Republic,92265,1019,314833,125,46,CAF,6.611111,20.939444
Chad,128138,10556,14116673,94157,64,TCD,15.454166,18.732207
Chile,215649,9147,12399624,39927770,108,CHL,-35.675147,-71.542969
China,1882716,2506289,3283546568,613469613,940,CHN,35.86166,104.195397
Colombia,427836,32879,18869782,7334469,214,COL,4.570868,-74.297333
Comoros (the),47953,661,864573,47804,24,COM,-11.6455,43.3333
Congo (the Democratic Republic of the),288799,18102,3592653,31200,144,COD,-4.038333,21.758664
Congo (the),70238,4734,724427,59,35,COG,-0.228021,15.827659
Cook Islands (the),21934,32,9024,25000,11,COK,-21.236736,-159.777671
Costa Rica,145748,548,2276061,1387090,73,CRI,9.748917,-83.753428
Croatia,60258,868,249667,13872150,30,HRV,45.1,15.2
Cuba,163857,2039,24197379,14863697,82,CUB,21.521757,-77.781167
Cyprus,29890,110,8535,61440,15,CYP,35.126413,33.429859
Czech Republic (the),64299,598,1626170,6668012,32,CZE,49.817492,15.472962
Czechoslovakia,17846,24,600,16000,9,CSK,50.0755,14.4378
Côte d’Ivoire,62177,962,105051,0,31,CIV,7.539989,-5.54708
Denmark,33938,27,0,5196639,17,DNK,56.26392,9.501785
Djibouti,53981,344,2459298,5719,27,DJI,11.825138,42.590275
Dominica,27908,140,196383,2223060,14,DMA,15.414999,-61.370976
Dominican Republic (the),166190,3787,7594867,3119635,83,DOM,18.735693,-70.162651
Ecuador,219753,8844,5405328,5819245,110,ECU,-1.831239,-78.183406
Egypt,69897,1827,403851,1557000,35,EGY,26.820553,30.802498
El Salvador,142145,5716,5083854,6974810,71,SLV,13.794185,-88.89653
Equatorial Guinea,2004,15,946,0,1,GNQ,1.650801,10.267895
Eritrea,16014,3,5622688,5165,8,ERI,15.179384,39.782334
Estonia,8040,11,100,130000,4,EST,58.595272,25.013607
Eswatini,36031,709,3274262,55941,18,SWZ,-26.522503,31.465866
Ethiopia,246024,416546,96826962,2152176,123,ETH,9.145,40.489673
Fiji,119799,449,2551435,1367853,60,FJI,-17.713371,178.065032
Finland,5985,0,400,10000,3,FIN,61.92411,25.748151
France,376183,28648,4227785,51975700,188,FRA,46.227638,2.213749
French Guiana,6016,10,70144,0,3,GUF,3.933889,-53.125782
French Polynesia,15934,31,13976,50000,8,PYF,-17.679742,-149.406843
Gabon,26039,117,110883,0,13,GAB,-0.803689,11.609444
Gambia (the),66005,442,1506535,700,33,GMB,13.443182,-15.310139
Georgia,54203,76,906302,700856,27,GEO,32.1656221,-82.9000751
Germany,172465,9918,578301,97889605,86,DEU,51.165691,10.451526
Germany Dem Rep,5953,0,0,0,3,DDR,51.165691,10.451526
Germany Fed Rep,31638,501,3997,3964000,16,DFR,51.165691,10.451526
Ghana,108178,1824,17621601,120300,54,GHA,7.946527,-1.023194
Greece,197616,2562,1313325,13790809,99,GRC,39.074208,21.824312
Grenada,15923,45,61285,904500,8,GRD,12.1165,-61.679
Guadeloupe,31808,53,220241,695000,16,GLP,16.265,-61.551
Guam,19919,18,27979,1121145,10,GUM,13.444304,144.793731
Guatemala,236536,28476,22158467,4839132,118,GTM,15.783471,-90.230759
Guinea,76193,4130,613494,8000,38,GIN,9.945587,-9.696645
Guinea-Bissau,45919,3044,314388,0,23,GNB,11.803749,-15.180413
Guyana,26045,34,1313248,678000,13,GUY,4.860416,-58.93018
Haiti,264155,248699,20133609,13017936,132,HTI,18.971187,-72.285215
Honduras,183936,27299,12082878,5183879,92,HND,15.199999,-86.241905
Hong Kong,204187,1477,147088,1315943,103,HKG,22.3193039,114.1693611
Hungary,68128,1211,406763,1960400,34,HUN,47.162494,19.503304
Iceland,25857,51,5768,70989,13,ISL,64.963051,-19.020835
India,1463564,1733196,2481031102,145303486,733,IND,20.593684,78.96288
Indonesia,1156632,218639,37504402,34681238,578,IDN,-0.789275,113.921327
