continent,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Africa,Animal accident,2014,12,5,0,1
Africa,Drought,658846,699596,513616661,8456593,330
Africa,Earthquake,137416,21163,2002723,12842949,69
Africa,Epidemic,1761587,187399,15414645,0,880
Africa,Extreme temperature,40143,372,3727716,47809,20
Africa,Flood,2370133,29788,94883236,13037988,1182
Africa,Insect infestation,147562,0,2800000,5200,74
Africa,Landslide,122501,3170,248642,58036,61
Africa,Mass movement (dry),9962,222,1197,0,5
Africa,Storm,608875,8111,25189889,7556618,304
Africa,Volcanic activity,37950,2233,815622,9000,19
Africa,Wildfire,72136,471,181417,860000,36
Americas,Drought,331820,130,111942958,94960808,166
Americas,Earthquake,543682,359283,37255253,114181927,273
Americas,Epidemic,349740,26128,4724996,7,175
Americas,Extreme temperature,225686,8963,5676382,21258850,113
Americas,Flood,2615561,65476,106829982,156684412,1307
Americas,Insect infestation,5986,0,2000,104000,3
Americas,Landslide,368916,15339,5608580,3893727,185
Americas,Mass movement (dry),21848,2410,8945,200000,11
Americas,Storm,2783624,73721,164922739,1230293377,1393
Americas,Volcanic activity,173863,22656,4408993,3697697,87
Americas,Wildfire,354778,580,12120012,93748712,177
Asia,Drought,363352,1513477,2173989277,61044464,182
Asia,Earthquake,1520035,969562,155390361,605896137,761
Asia,Epidemic,714800,56437,9576833,0,358
Asia,Extreme temperature,382421,27740,88177759,25572333,191
Asia,Flood,4730366,2328583,3717048112,585021370,2363
Asia,Glacial lake outburst,4042,250,24,210000,2
Asia,Insect infestation,23938,0,200,0,12
Asia,Landslide,850390,24488,8765992,4063216,425
Asia,Mass movement (dry),43867,1649,7645,9000,22
Asia,Storm,3659480,896813,1035757276,366607165,1832
Asia,Volcanic activity,197382,7453,4336654,1133915,99
Asia,Wildfire,140059,880,4456300,13702500,70
Europe,Drought,95973,2,10488769,27781309,48
Europe,Earthquake,328360,38397,6104651,98305886,165
Europe,Epidemic,91919,475,189730,0,46
Europe,Extreme temperature,547802,154618,1457392,21787351,273
Europe,Flood,1329750,8747,17335829,188367447,664
Europe,Fog,1952,4000,0,0,1
Europe,Glacial lake outburst,2022,12,0,0,1
Europe,Impact,2013,0,301491,33000,1
Europe,Insect infestation,2001,0,0,0,1
Europe,Landslide,150996,4570,44645,3241489,76
Europe,Mass movement (dry),7984,110,8706,0,4
Europe,Storm,1116544,3372,9047940,111869431,558
Europe,Volcanic activity,21912,10,19440,1159300,11
Europe,Wildfire,244228,812,1487829,14853631,122
Oceania,Drought,66004,684,10775749,12790900,33
Oceania,Earthquake,105811,6163,1278786,30018884,53
Oceania,Epidemic,54153,601,37848,0,27
Oceania,Extreme temperature,16018,509,4602784,200000,8
Oceania,Flood,308233,602,1451749,30351336,154
Oceania,Insect infestation,4004,0,0,120000,2
Oceania,Landslide,41980,579,20415,2466,21
Oceania,Mass movement (dry),3996,86,1000,0,2
Oceania,Storm,604509,2074,8280005,30077916,303
Oceania,Volcanic activity,61969,3184,379984,227000,31
Oceania,Wildfire,78064,413,104166,5729187,39
