country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Afghanistan,AFG,Drought,16004,37,31058000,142250,8
Afghanistan,AFG,Earthquake,69910,12617,1091390,54060,35
Afghanistan,AFG,Epidemic,40025,3845,254317,0,20
Afghanistan,AFG,Extreme temperature,14008,1934,370952,10,7
Afghanistan,AFG,Flood,202641,5932,1664650,399000,101
Afghanistan,AFG,Insect infestation,1993,0,0,0,1
Afghanistan,AFG,Landslide,56220,1851,337112,3000,28
Afghanistan,AFG,Storm,18089,505,39197,5000,9
Afghanistan,AFG,Wildfire,1999,0,0,0,1
Albania,ALB,Drought,1989,0,3200000,0,1
Albania,ALB,Earthquake,19942,113,216408,770000,10
Albania,ALB,Epidemic,3998,7,292,0,2
Albania,ALB,Extreme temperature,10025,82,237235,0,5
Albania,ALB,Flood,32126,23,205670,33573,16
Albania,ALB,Landslide,1985,57,26,0,1
Albania,ALB,Storm,4007,8,525000,0,2
Albania,ALB,Wildfire,2007,0,75,0,1
Algeria,DZA,Drought,1981,0,0,0,1
Algeria,DZA,Earthquake,37814,6483,1387704,10270929,19
Algeria,DZA,Epidemic,3988,1,568,0,2
Algeria,DZA,Extreme temperature,6039,48,250025,0,3
Algeria,DZA,Flood,103873,1895,809145,1543917,52
Algeria,DZA,Insect infestation,3975,0,0,0,2
Algeria,DZA,Landslide,1993,15,696,0,1
Algeria,DZA,Storm,7996,27,10122,0,4
Algeria,DZA,Wildfire,8044,164,49271,0,4
American Samoa,ASM,Earthquake,2009,34,2500,0,1
American Samoa,ASM,Flood,2003,6,3,50000,1
American Samoa,ASM,Storm,7964,90,23060,155000,4
Angola,AGO,Drought,18006,58,7443900,0,9
Angola,AGO,Epidemic,38058,5087,133857,0,19
Angola,AGO,Flood,90441,825,1292830,12000,45
Angola,AGO,Landslide,2000,13,0,0,1
Anguilla,AIA,Storm,9910,9,16400,235050,5
Antigua and Barbuda,ATG,Drought,1983,0,75000,0,1
Antigua and Barbuda,ATG,Storm,23881,13,52314,793600,12
Argentina,ARG,Drought,8049,8,35032,3520000,4
Argentina,ARG,Earthquake,7985,76,87879,80000,4
Argentina,ARG,Epidemic,4001,73,17249,0,2
Argentina,ARG,Extreme temperature,15991,185,28500,0,8
Argentina,ARG,Flood,131984,856,14483992,11072210,66
Argentina,ARG,Landslide,9989,103,35030,15000,5
Argentina,ARG,Storm,45970,298,145148,106200,23
Argentina,ARG,Volcanic activity,8025,0,66200,104000,4
Argentina,ARG,Wildfire,14024,47,278044,830000,7
Armenia,ARM,Drought,2000,0,297000,100000,1
Armenia,ARM,Earthquake,1997,0,15000,33333,1
Armenia,ARM,Extreme temperature,2013,0,12000,0,1
Armenia,ARM,Flood,5999,5,7144,8120,3
Armenia,ARM,Landslide,2016,0,750,0,1
Armenia,ARM,Storm,8070,0,88436,61822,4
Australia,AUS,Drought,21861,600,7080000,11773000,11
Australia,AUS,Earthquake,5951,12,11430,1002600,3
Australia,AUS,Epidemic,4018,0,2022,0,2
Australia,AUS,Extreme temperature,14017,509,4602784,0,7
Australia,AUS,Flood,134112,358,406381,28825661,67
Australia,AUS,Insect infestation,4004,0,0,120000,2
Australia,AUS,Landslide,3993,28,101,0,2
Australia,AUS,Storm,169904,257,4162889,25885436,85
Australia,AUS,Wildfire,70077,413,94841,5687537,35
Austria,AUT,Earthquake,1998,0,0,0,1
Austria,AUT,Extreme temperature,12055,358,0,280000,6
Austria,AUT,Flood,35994,44,61616,4594200,18
Austria,AUT,Landslide,15800,358,10380,41570,8
Austria,AUT,Storm,41972,38,643,1824000,21
Azerbaijan,AZE,Drought,2000,0,0,100000,1
Azerbaijan,AZE,Earthquake,10021,33,734971,15000,5
Azerbaijan,AZE,Extreme temperature,2012,5,0,0,1
Azerbaijan,AZE,Flood,14004,19,1840300,96200,7
Azerbaijan,AZE,Landslide,2000,11,0,0,1
Azores Islands,AZO,Earthquake,5942,79,24000,77000,3
Azores Islands,AZO,Landslide,1997,29,55,16300,1
Azores Islands,AZO,Storm,1996,0,60,66000,1
Bahamas (the),BHS,Flood,4001,0,1000,45000,2
Bahamas (the),BHS,Storm,43967,414,55053,6700100,22
Bahrain,BHR,Epidemic,1978,111,0,0,1
Bangladesh,BGD,Drought,9933,18,25002000,0,5
Bangladesh,BGD,Earthquake,18011,45,19395,500000,9
Bangladesh,BGD,Epidemic,59799,10203,3043218,0,30
Bangladesh,BGD,Extreme temperature,48035,2524,418700,0,24
Bangladesh,BGD,Flood,195574,53090,352760104,13591400,98
Bangladesh,BGD,Landslide,12080,265,154486,0,6
Bangladesh,BGD,Storm,338757,568247,90132233,7802165,170
Barbados,BRB,Drought,2010,0,0,0,1
Barbados,BRB,Earthquake,2007,0,1,0,1
Barbados,BRB,Flood,3954,3,310,500,2
Barbados,BRB,Storm,17971,59,13917,106700,9
Belarus,BLR,Epidemic,3992,13,887,0,2
Belarus,BLR,Extreme temperature,12061,54,95314,30300,6
Belarus,BLR,Flood,8006,2,92000,104380,4
Belarus,BLR,Storm,4004,5,21390,43000,2
Belgium,BEL,Drought,1976,0,0,0,1
Belgium,BEL,Earthquake,3975,2,1030,150000,2
Belgium,BEL,Extreme temperature,28097,4719,0,0,14
Belgium,BEL,Flood,33932,61,107075,2265146,17
Belgium,BEL,Storm,60021,41,1878,1844986,30
Belize,BLZ,Extreme temperature,1990,0,0,2250,1
Belize,BLZ,Flood,9987,1,77600,12397,5
Belize,BLZ,Storm,29939,359,318925,617357,15
Benin,BEN,Drought,3949,0,2215000,651,2
Benin,BEN,Epidemic,52044,1369,25494,0,26
Benin,BEN,Flood,42015,202,3229397,8315,21
Benin,BEN,Storm,2009,0,800,0,1
Benin,BEN,Wildfire,5975,3,9959,0,3
Bermuda,BMU,Storm,9950,4,40,353500,5
Bhutan,BTN,Earthquake,6041,12,20530,0,3
Bhutan,BTN,Epidemic,3977,41,741,0,2
Bhutan,BTN,Flood,8019,232,1600,0,4
Bhutan,BTN,Storm,4003,29,65000,0,2
Bhutan,BTN,Wildfire,1999,0,0,3500,1
Bolivia (Plurinational State of),BOL,Drought,25980,0,4637744,1515600,13
Bolivia (Plurinational State of),BOL,Earthquake,3992,100,18050,0,2
Bolivia (Plurinational State of),BOL,Epidemic,25960,550,52900,0,13
Bolivia (Plurinational State of),BOL,Extreme temperature,10031,37,42772,0,5
Bolivia (Plurinational State of),BOL,Flood,110082,1343,4655108,1672118,55
Bolivia (Plurinational State of),BOL,Landslide,18040,334,182053,600000,9
Bolivia (Plurinational State of),BOL,Storm,4010,20,18740,0,2
Bolivia (Plurinational State of),BOL,Volcanic activity,2019,0,3000,0,1
Bolivia (Plurinational State of),BOL,Wildfire,12055,8,171600,0,6
Bosnia and Herzegovina,BIH,Drought,4003,0,62575,298000,2
Bosnia and Herzegovina,BIH,Earthquake,2022,1,1052,0,1
Bosnia and Herzegovina,BIH,Epidemic,2000,0,400,0,1
Bosnia and Herzegovina,BIH,Extreme temperature,8038,7,20347,0,4
Bosnia and Herzegovina,BIH,Flood,34202,30,1595099,523580,17
Bosnia and Herzegovina,BIH,Landslide,2000,6,403,0,1
Bosnia and Herzegovina,BIH,Storm,4004,4,1090,0,2
Botswana,BWA,Drought,13908,0,1382900,47000,7
Botswana,BWA,Epidemic,6002,655,36897,0,3
Botswana,BWA,Flood,22036,43,178584,5050,11
Botswana,BWA,Insect infestation,1986,0,0,0,1
Botswana,BWA,Storm,2009,0,400,0,1
Brazil,BRA,Drought,39935,20,78812000,17183100,20
Brazil,BRA,Earthquake,3993,2,23286,5000,2
Brazil,BRA,Epidemic,35945,2632,1983463,0,18
Brazil,BRA,Extreme temperature,15914,355,600,1075000,8
Brazil,BRA,Flood,323906,8329,22057155,11330254,162
Brazil,BRA,Insect infestation,1991,0,2000,0,1
Brazil,BRA,Landslide,49756,1745,4238614,231027,25
Brazil,BRA,Storm,35888,266,238112,612000,18
Brazil,BRA,Wildfire,8014,1,10014195,36000,4
Brunei Darussalam,BRN,Wildfire,1998,0,0,2000,1
Bulgaria,BGR,Drought,3983,0,0,0,2
Bulgaria,BGR,Earthquake,9971,24,3962,0,5
Bulgaria,BGR,Extreme temperature,18052,76,393,50,9
Bulgaria,BGR,Flood,42189,82,60642,855200,21
Bulgaria,BGR,Landslide,1965,11,0,0,1
Bulgaria,BGR,Storm,11993,3,5890,545000,6
Bulgaria,BGR,Wildfire,10036,10,676,20054,5
Burkina Faso,BFA,Drought,23908,0,15313290,0,12
Burkina Faso,BFA,Epidemic,49904,17119,207368,0,25
Burkina Faso,BFA,Flood,46126,185,780409,181176,23
Burkina Faso,BFA,Insect infestation,5977,0,0,0,3
Burundi,BDI,Drought,12034,126,3062500,0,6
Burundi,BDI,Earthquake,2004,3,120,0,1
Burundi,BDI,Epidemic,29998,789,1378259,0,15
Burundi,BDI,Flood,60290,223,234270,15000,30
Burundi,BDI,Landslide,6051,54,13622,0,3
Burundi,BDI,Storm,14054,23,54365,0,7
Cabo Verde,CPV,Drought,13980,0,156093,0,7
Cabo Verde,CPV,Epidemic,4003,251,32491,0,2
Cabo Verde,CPV,Flood,4029,4,25150,0,2
Cabo Verde,CPV,Insect infestation,3992,0,0,0,2
