continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Africa,Algeria,DZA,8633,2507531,11814846,88,4142.018558,165539.9933,3.920109085,42228415,Algeria,Algeria,Algeria,3980,Upper-Middle Income
Africa,Angola,AGO,5983,8870587,12000,74,2524.942483,23959.99908,0.777674934,30809787,Angola,Angola,Angola,1900,Lower-Middle Income
Africa,Benin,BEN,1574,5480650,8966,53,1241.825298,7420.000076,0.646058116,11485035,Benin,Benin,Benin,1200,Lower-Middle Income
Africa,Botswana,BWA,698,1598781,52050,23,7503.878588,7309.999943,3.243026912,2254067,Botswana,Botswana,Botswana,6780,Upper-Middle Income
Africa,Burkina Faso,BFA,17304,16301067,181176,63,804.5005378,4670.000076,0.23643815,19751466,Burkina Faso,Burkina Faso,Burkina Faso,750,Low-Income
Africa,Burundi,BDI,1218,4743136,15000,62,238.0343096,689.9999976,0.061742872,11175379,Burundi,Burundi,Burundi,250,Low-Income
Africa,Cabo Verde,CPV,296,230262,4100,18,3616.460666,610.0000143,1.121810223,543764,Cabo Verde,Cabo Verde,Cabo Verde,3400,Lower-Middle Income
Africa,Cameroon,CMR,6122,1082089,5200,55,1585.240534,9590.000153,0.380310156,25216261,Cameroon,Cameroon,Cameroon,1490,Lower-Middle Income
Africa,Central African Republic,CAF,1019,314833,125,46,475.9538139,230.0000042,0.049288796,4666375,Central African Republic,Central African Republic,Central African Republic,490,Low-Income
Africa,Chad,TCD,10556,14116673,94157,64,726.1510071,2190.000057,0.141493648,15477727,Chad,Chad,Chad,680,Low-Income
Africa,Comoros (the),COM,661,864573,47804,24,1428.290463,300.0000119,0.360437441,832322,Comoros,Comoros,Comoros,1370,Lower-Middle Income
Africa,Congo (the Democratic Republic of the),COD,18102,3592653,31200,144,565.8295429,3119.999886,0.037112771,84068092,"Congo, Dem. Rep.","Congo, Dem. Rep.","Congo, Dem. Rep.",500,Low-Income
Africa,Congo (the),COG,4734,724427,59,35,2606.615526,6489.999771,1.237519175,5244363,"Congo, Rep.","Congo, Rep.","Congo, Rep.",1790,Lower-Middle Income
Africa,Côte d’Ivoire,CIV,962,105051,0,31,2314.050958,10189.99958,0.406474439,25069226,Ivory Coast,Ivory Coast,Ivory Coast,2180,Lower-Middle Income
Africa,Djibouti,DJI,344,2459298,5719,27,3038.269738,400.000006,0.417134646,958923,Djibouti,Djibouti,Djibouti,2910,Lower-Middle Income
Africa,Egypt,EGY,1827,403851,1557000,35,2537.125185,247910.0037,2.518806451,98423602,"Egypt, Arab Rep.","Egypt, Arab Rep.","Egypt, Arab Rep.",2790,Lower-Middle Income
Africa,Equatorial Guinea,GNQ,15,946,0,1,10005.61604,6429.999828,4.912274137,1308966,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,6730,Upper-Middle Income
Africa,Eswatini,SWZ,709,3274262,55941,18,4107.094431,910.0000262,0.800863195,1136274,Eswatini,Eswatini,Eswatini,3620,Lower-Middle Income
Africa,Ethiopia,ETH,416546,96826962,2152176,123,771.5248663,17239.99977,0.157840173,109224410,Ethiopia,Ethiopia,Ethiopia,800,Low-Income
Africa,Gabon,GAB,117,110883,0,13,7959.007267,5119.999886,2.415920485,2119275,Gabon,Gabon,Gabon,6830,Upper-Middle Income
Africa,Gambia (the),GMB,442,1506535,700,33,732.7207273,550.0000119,0.241218342,2280092,"Gambia, The","Gambia, The",Gambia,720,Low-Income
Africa,Ghana,GHA,1824,17621601,120300,54,2260.860567,18680.00031,0.627538298,29767108,Ghana,Ghana,Ghana,2120,Lower-Middle Income
Africa,Guinea,GIN,4130,613494,8000,38,955.1112811,3750,0.302071193,12414292,Guinea,Guinea,Guinea,860,Low-Income
