year,total_deaths,location,tpopulation1jan,tpopulation1july,popdensity,deaths_per_1000,global_deaths,percentby_disaster
1950,6845,World,2477674.732,2499322.157,19.1661,48788.536,48788536,0.014029935
1951,18227,World,2520969.582,2543130.38,19.502,48514.552,48514552,0.037570171
1952,6886,World,2565291.179,2590270.898,19.8635,47646.612,47646612,0.014452234
1953,12997,World,2615250.618,2640278.797,20.247,47499.083,47499083,0.027362634
1954,41847,World,2665306.975,2691979.339,20.6435,47002.805,47002805,0.089030857
1955,5556,World,2718651.703,2746072.141,21.0583,46966.099,46966099,0.011829809
1956,7737,World,2773492.579,2801002.631,21.4795,46806.573,46806573,0.01652973
1957,10580,World,2828512.683,2857866.857,21.9156,47269.07,47269070,0.022382501
1958,4061,World,2887221.03,2916108.097,22.3622,46782.736,46782736,0.008680553
1959,2013208,World,2944995.164,2970292.188,22.7777,51327.051,51327051,3.922313791
1960,38624,World,2995589.212,3019233.434,23.153,54973.677,54973677,0.070259081
1961,17381,World,3042877.656,3068370.609,23.5298,50003.182,50003182,0.034759788
1962,17239,World,3093863.563,3126686.743,23.977,46406.404,46406404,0.03714789
1963,37431,World,3159509.922,3195779.247,24.5069,47279.567,47279567,0.079169507
1964,12892,World,3232048.572,3267212.338,25.0547,47065.427,47065427,0.027391656
1965,1565529,World,3302376.104,3337111.983,25.5907,48459.854,48459854,3.230568957
1966,17218,World,3371847.862,3406417.036,26.1222,48043.572,48043572,0.035838301
1967,10045,World,3440986.209,3475448.166,26.6515,47915.489,47915489,0.020963994
1968,22174,World,3509910.122,3546810.808,27.1988,47947.975,47947975,0.046245957
1969,11714,World,3583711.493,3620655.275,27.765,48234.879,48234879,0.024285331
1970,387089,World,3657599.057,3695390.336,28.3382,48534.128,48534128,0.79756043
1971,18087,World,3733181.615,3770163.092,28.9116,49683.953,49683953,0.036404108
1972,20058,World,3807144.569,3844800.885,29.4839,47961.807,47961807,0.041820776
1973,129594,World,3882457.201,3920251.504,30.0625,47680.36,47680360,0.271797444
1974,68525,World,3958045.806,3995517.077,30.6397,47493.921,47493921,0.144281623
1975,26858,World,4032988.348,4069437.23,31.2065,47592.762,47592762,0.056432951
1976,280480,World,4105886.113,4142505.882,31.7669,47407.648,47407648,0.591634497
1977,22406,World,4179125.652,4215772.49,32.3287,46745.923,46745923,0.047931453
1978,38096,World,4252419.327,4289657.708,32.8953,46859.945,46859945,0.081297577
1979,7315,World,4326896.089,4365582.871,33.4775,46913.597,46913597,0.015592494
1980,25998,World,4404269.653,4444007.706,34.0789,47316.613,47316613,0.054944761
1981,116970,World,4483745.758,4524627.658,34.6972,47388.185,47388185,0.246833678
1982,14036,World,4565509.559,4607984.87,35.3364,47561.96,47561960,0.029510979
1983,461207,World,4650460.182,4691884.238,35.9798,48133.88,48133880,0.958175406
1984,15676,World,4733308.294,4775836.074,36.6236,48341.286,48341286,0.032427768
1985,60231,World,4818363.854,4861730.613,37.2823,48685.438,48685438,0.123714611
1986,10349,World,4905097.372,4950063.34,37.9596,48487.102,48487102,0.02134382
1987,21524,World,4995029.307,5040984.495,38.6569,48634.087,48634087,0.044257025
1988,57454,World,5086939.683,5132293.974,39.3571,49284.175,49284175,0.116576974
1989,12617,World,5177648.264,5223704.308,40.0581,49064.192,49064192,0.025715292
1990,53133,World,5269760.352,5316175.862,40.7672,49619.695,49619695,0.107080465
1991,189707,World,5362591.372,5406245.868,41.4579,50082.059,50082059,0.378792334
1992,18913,World,5449900.363,5492686.092,42.1207,50181.618,50181618,0.0376891
1993,21821,World,5535471.822,5577433.523,42.7706,50769.036,50769036,0.042980922
1994,15590,World,5619395.224,5660727.993,43.4094,51519.238,51519238,0.030260541
1995,27158,World,5702060.762,5743219.454,44.042,51355.462,51355462,0.052882398
1996,31595,World,5784378.146,5825145.298,44.6702,51518.77,51518770,0.061327163
1997,30024,World,5865912.45,5906481.261,45.2939,51459.177,51459177,0.058345278
1998,62673,World,5947050.072,5987312.48,45.9138,51761.764,51761764,0.121079722
1999,76906,World,6027574.888,6067758.458,46.5307,51996.609,51996609,0.147905799
2000,16639,World,6107942.028,6148898.975,47.1529,52099.819,52099819,0.031936771
2001,39469,World,6189855.922,6230746.982,47.7806,52095.282,52095282,0.075763099
2002,21695,World,6271638.043,6312407.36,48.4068,52481.447,52481447,0.041338418
2003,113133,World,6353176.677,6393898.365,49.0317,52858.472,52858472,0.214030023
2004,244905,World,6434620.053,6475751.478,49.6594,52965.047,52965047,0.462389847
2005,94521,World,6516882.903,6558176.119,50.2915,53213.356,53213356,0.177626459
2006,28795,World,6599469.335,6641416.218,50.9298,53015.851,53015851,0.054313945
2007,22398,World,6683363.101,6725948.544,51.578,53391.816,53391816,0.041950249
2008,242059,World,6768533.988,6811597.272,52.2348,54037.662,54037662,0.447944991
2009,16086,World,6854660.556,6898305.908,52.8998,53910.189,53910189,0.029838515
2010,329800,World,6941951.26,6985603.105,53.5692,54329.194,54329194,0.607040112
2011,34143,World,7029254.95,7073125.425,54.2404,54393.8,54393800,0.062770022
2012,11668,World,7116995.9,7161697.921,54.9196,54789.783,54789783,0.021295941
2013,22159,World,7206399.942,7250593.37,55.6013,55034.447,55034447,0.040263873
2014,20922,World,7294786.798,7339013.419,56.2793,55217.575,55217575,0.03789011
2015,24308,World,7383240.04,7426597.537,56.951,55893.034,55893034,0.043490214
2016,10714,World,7469955.033,7513474.238,57.6172,56200.615,56200615,0.019063848
