country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Afghanistan,Drought,16004,37,31058000,142250,8
Afghanistan,Earthquake,69910,12617,1091390,54060,35
Afghanistan,Epidemic,40025,3845,254317,0,20
Afghanistan,Extreme temperature,14008,1934,370952,10,7
Afghanistan,Flood,202641,5932,1664650,399000,101
Afghanistan,Insect infestation,1993,0,0,0,1
Afghanistan,Landslide,56220,1851,337112,3000,28
Afghanistan,Storm,18089,505,39197,5000,9
Afghanistan,Wildfire,1999,0,0,0,1
Albania,Drought,1989,0,3200000,0,1
Albania,Earthquake,19942,113,216408,770000,10
Albania,Epidemic,3998,7,292,0,2
Albania,Extreme temperature,10025,82,237235,0,5
Albania,Flood,32126,23,205670,33573,16
Albania,Landslide,1985,57,26,0,1
Albania,Storm,4007,8,525000,0,2
Albania,Wildfire,2007,0,75,0,1
Algeria,Drought,1981,0,0,0,1
Algeria,Earthquake,37814,6483,1387704,10270929,19
Algeria,Epidemic,3988,1,568,0,2
Algeria,Extreme temperature,6039,48,250025,0,3
Algeria,Flood,103873,1895,809145,1543917,52
Algeria,Insect infestation,3975,0,0,0,2
Algeria,Landslide,1993,15,696,0,1
Algeria,Storm,7996,27,10122,0,4
Algeria,Wildfire,8044,164,49271,0,4
American Samoa,Earthquake,2009,34,2500,0,1
American Samoa,Flood,2003,6,3,50000,1
American Samoa,Storm,7964,90,23060,155000,4
Angola,Drought,18006,58,7443900,0,9
Angola,Epidemic,38058,5087,133857,0,19
Angola,Flood,90441,825,1292830,12000,45
Angola,Landslide,2000,13,0,0,1
Anguilla,Storm,9910,9,16400,235050,5
Antigua and Barbuda,Drought,1983,0,75000,0,1
Antigua and Barbuda,Storm,23881,13,52314,793600,12
Argentina,Drought,8049,8,35032,3520000,4
Argentina,Earthquake,7985,76,87879,80000,4
Argentina,Epidemic,4001,73,17249,0,2
Argentina,Extreme temperature,15991,185,28500,0,8
Argentina,Flood,131984,856,14483992,11072210,66
Argentina,Landslide,9989,103,35030,15000,5
Argentina,Storm,45970,298,145148,106200,23
Argentina,Volcanic activity,8025,0,66200,104000,4
Argentina,Wildfire,14024,47,278044,830000,7
Armenia,Drought,2000,0,297000,100000,1
Armenia,Earthquake,1997,0,15000,33333,1
Armenia,Extreme temperature,2013,0,12000,0,1
Armenia,Flood,5999,5,7144,8120,3
Armenia,Landslide,2016,0,750,0,1
Armenia,Storm,8070,0,88436,61822,4
Australia,Drought,21861,600,7080000,11773000,11
Australia,Earthquake,5951,12,11430,1002600,3
Australia,Epidemic,4018,0,2022,0,2
Australia,Extreme temperature,14017,509,4602784,0,7
Australia,Flood,134112,358,406381,28825661,67
Australia,Insect infestation,4004,0,0,120000,2
Australia,Landslide,3993,28,101,0,2
Australia,Storm,169904,257,4162889,25885436,85
Australia,Wildfire,70077,413,94841,5687537,35
Austria,Earthquake,1998,0,0,0,1
Austria,Extreme temperature,12055,358,0,280000,6
Austria,Flood,35994,44,61616,4594200,18
Austria,Landslide,15800,358,10380,41570,8
Austria,Storm,41972,38,643,1824000,21
Azerbaijan,Drought,2000,0,0,100000,1
Azerbaijan,Earthquake,10021,33,734971,15000,5
Azerbaijan,Extreme temperature,2012,5,0,0,1
Azerbaijan,Flood,14004,19,1840300,96200,7
Azerbaijan,Landslide,2000,11,0,0,1
Azores Islands,Earthquake,5942,79,24000,77000,3
Azores Islands,Landslide,1997,29,55,16300,1
Azores Islands,Storm,1996,0,60,66000,1
Bahamas (the),Flood,4001,0,1000,45000,2
Bahamas (the),Storm,43967,414,55053,6700100,22
Bahrain,Epidemic,1978,111,0,0,1
Bangladesh,Drought,9933,18,25002000,0,5
Bangladesh,Earthquake,18011,45,19395,500000,9
Bangladesh,Epidemic,59799,10203,3043218,0,30
Bangladesh,Extreme temperature,48035,2524,418700,0,24
Bangladesh,Flood,195574,53090,352760104,13591400,98
Bangladesh,Landslide,12080,265,154486,0,6
Bangladesh,Storm,338757,568247,90132233,7802165,170
Barbados,Drought,2010,0,0,0,1
Barbados,Earthquake,2007,0,1,0,1
Barbados,Flood,3954,3,310,500,2
Barbados,Storm,17971,59,13917,106700,9
Belarus,Epidemic,3992,13,887,0,2
Belarus,Extreme temperature,12061,54,95314,30300,6
Belarus,Flood,8006,2,92000,104380,4
Belarus,Storm,4004,5,21390,43000,2
Belgium,Drought,1976,0,0,0,1
Belgium,Earthquake,3975,2,1030,150000,2
Belgium,Extreme temperature,28097,4719,0,0,14
Belgium,Flood,33932,61,107075,2265146,17
Belgium,Storm,60021,41,1878,1844986,30
Belize,Extreme temperature,1990,0,0,2250,1
Belize,Flood,9987,1,77600,12397,5
Belize,Storm,29939,359,318925,617357,15
Benin,Drought,3949,0,2215000,651,2
Benin,Epidemic,52044,1369,25494,0,26
Benin,Flood,42015,202,3229397,8315,21
Benin,Storm,2009,0,800,0,1
Benin,Wildfire,5975,3,9959,0,3
Bermuda,Storm,9950,4,40,353500,5
Bhutan,Earthquake,6041,12,20530,0,3
Bhutan,Epidemic,3977,41,741,0,2
Bhutan,Flood,8019,232,1600,0,4
Bhutan,Storm,4003,29,65000,0,2
Bhutan,Wildfire,1999,0,0,3500,1
Bolivia (Plurinational State of),Drought,25980,0,4637744,1515600,13
Bolivia (Plurinational State of),Earthquake,3992,100,18050,0,2
Bolivia (Plurinational State of),Epidemic,25960,550,52900,0,13
Bolivia (Plurinational State of),Extreme temperature,10031,37,42772,0,5
Bolivia (Plurinational State of),Flood,110082,1343,4655108,1672118,55
Bolivia (Plurinational State of),Landslide,18040,334,182053,600000,9
Bolivia (Plurinational State of),Storm,4010,20,18740,0,2
Bolivia (Plurinational State of),Volcanic activity,2019,0,3000,0,1
Bolivia (Plurinational State of),Wildfire,12055,8,171600,0,6
Bosnia and Herzegovina,Drought,4003,0,62575,298000,2
Bosnia and Herzegovina,Earthquake,2022,1,1052,0,1
Bosnia and Herzegovina,Epidemic,2000,0,400,0,1
Bosnia and Herzegovina,Extreme temperature,8038,7,20347,0,4
Bosnia and Herzegovina,Flood,34202,30,1595099,523580,17
Bosnia and Herzegovina,Landslide,2000,6,403,0,1
Bosnia and Herzegovina,Storm,4004,4,1090,0,2
Botswana,Drought,13908,0,1382900,47000,7
Botswana,Epidemic,6002,655,36897,0,3
Botswana,Flood,22036,43,178584,5050,11
Botswana,Insect infestation,1986,0,0,0,1
Botswana,Storm,2009,0,400,0,1
Brazil,Drought,39935,20,78812000,17183100,20
Brazil,Earthquake,3993,2,23286,5000,2
Brazil,Epidemic,35945,2632,1983463,0,18
Brazil,Extreme temperature,15914,355,600,1075000,8
Brazil,Flood,323906,8329,22057155,11330254,162
Brazil,Insect infestation,1991,0,2000,0,1
Brazil,Landslide,49756,1745,4238614,231027,25
Brazil,Storm,35888,266,238112,612000,18
Brazil,Wildfire,8014,1,10014195,36000,4
Brunei Darussalam,Wildfire,1998,0,0,2000,1
Bulgaria,Drought,3983,0,0,0,2
Bulgaria,Earthquake,9971,24,3962,0,5
Bulgaria,Extreme temperature,18052,76,393,50,9
Bulgaria,Flood,42189,82,60642,855200,21
Bulgaria,Landslide,1965,11,0,0,1
Bulgaria,Storm,11993,3,5890,545000,6
Bulgaria,Wildfire,10036,10,676,20054,5
Burkina Faso,Drought,23908,0,15313290,0,12
Burkina Faso,Epidemic,49904,17119,207368,0,25
Burkina Faso,Flood,46126,185,780409,181176,23
Burkina Faso,Insect infestation,5977,0,0,0,3
Burundi,Drought,12034,126,3062500,0,6
Burundi,Earthquake,2004,3,120,0,1
Burundi,Epidemic,29998,789,1378259,0,15
Burundi,Flood,60290,223,234270,15000,30
Burundi,Landslide,6051,54,13622,0,3
Burundi,Storm,14054,23,54365,0,7
Cabo Verde,Drought,13980,0,156093,0,7
Cabo Verde,Epidemic,4003,251,32491,0,2
Cabo Verde,Flood,4029,4,25150,0,2
Cabo Verde,Insect infestation,3992,0,0,0,2
Cabo Verde,Storm,5981,41,7722,4100,3
Cabo Verde,Volcanic activity,4009,0,8806,0,2
Cambodia,Drought,12005,0,9050000,138000,6
Cambodia,Epidemic,17993,788,417938,0,9
Cambodia,Flood,48185,1653,13751629,1421100,24
Cambodia,Storm,14091,89,944252,100010,7
Cameroon,Drought,9979,0,598900,1500,5
Cameroon,Epidemic,50036,4129,54724,0,25
Cameroon,Flood,34106,131,414668,2000,17
Cameroon,Insect infestation,3985,0,0,1700,2
Cameroon,Landslide,6044,79,350,0,3
Cameroon,Volcanic activity,5969,1783,13447,0,3
Canada,Drought,7910,0,30000,4810000,4
Canada,Epidemic,11941,562,8917,0,6
Canada,Extreme temperature,12040,895,200,2200000,6
Canada,Flood,90119,55,360723,12907900,45
Canada,Landslide,1965,26,22,0,1
Canada,Mass movement (dry),3926,34,3506,0,2
Canada,Storm,91771,268,74119,7684700,46
Canada,Wildfire,46010,5,209127,10535412,23
Canary Is,Extreme temperature,2004,13,113,0,1
Canary Is,Flood,4003,23,730,79923,2
Canary Is,Storm,5961,45,0,790000,3
Canary Is,Volcanic activity,2021,1,6888,1000000,1
Canary Is,Wildfire,2007,0,405,0,1
Cayman Islands (the),Storm,14029,2,300,3496580,7
Central African Republic,Drought,1983,0,0,0,1
Central African Republic,Epidemic,26074,981,9875,0,13
Central African Republic,Flood,38109,29,237027,0,19
Central African Republic,Storm,20080,8,37096,125,10
Central African Republic,Wildfire,6019,1,30835,0,3
Chad,Drought,19966,3000,11842800,83000,10
Chad,Epidemic,46082,7108,86312,0,23
Chad,Flood,44147,358,2186079,11000,22
Chad,Insect infestation,9952,0,0,0,5
Chad,Landslide,2019,52,37,0,1
Chad,Storm,5972,38,1445,157,3
Chile,Drought,3959,0,120000,255000,2
Chile,Earthquake,39762,7317,9863580,34085870,20
Chile,Epidemic,1991,1,40,0,1
Chile,Extreme temperature,16042,8,60625,1020000,8
Chile,Flood,72031,1245,1658277,2297600,36
Chile,Landslide,9939,251,82983,6000,5
Chile,Storm,29855,273,505000,184300,15
Chile,Volcanic activity,15985,10,86650,615000,8
Chile,Wildfire,26085,42,22469,1464000,13
China,Drought,78030,3534,516100000,38592420,39
China,Earthquake,336330,371343,77799112,113995357,168
China,Epidemic,15981,1498,9829,0,8
China,Extreme temperature,28050,384,81220002,23030200,14
China,Flood,610935,2105048,2106746629,312430368,305
China,Insect infestation,2001,0,0,0,1
China,Landslide,148339,5346,2507864,2752700,74
China,Mass movement (dry),13978,500,5475,8000,7
China,Storm,633058,18322,499099841,122550568,316
China,Wildfire,16014,314,57816,110000,8
Colombia,Drought,4013,0,100000,0,2
Colombia,Earthquake,51675,2901,1460665,2323666,26
Colombia,Epidemic,12047,672,121194,0,6
Colombia,Flood,210369,3680,16484357,3626353,105
Colombia,Insect infestation,1995,0,0,104000,1
Colombia,Landslide,91721,3439,106776,102400,46
Colombia,Mass movement (dry),5984,247,2411,0,3
Colombia,Storm,22001,72,418215,178050,11
Colombia,Volcanic activity,20014,21826,56964,1000000,10
Colombia,Wildfire,8017,42,119200,0,4
Comoros (the),Drought,1981,0,0,0,1
Comoros (the),Earthquake,2014,0,10000,0,1
Comoros (the),Epidemic,12003,86,7562,0,6
