country,year,total_deaths,total_affected,reconstruction_costs_('000_us$),"reconstruction_costs,_adjusted_('000_us$)",insured_damages_('000_us$),"insured_damages,_adjusted_('000_us$)",total_damages_('000_us$),"total_damages,_adjusted_('000_us$)",total_occurences,lat,lng
Afghanistan,385371,23398,33810381,0,0,200,386,257120,370649,192,33.93911,67.709953
Albania,60242,103,1171262,0,0,0,0,778573,839589,30,41.153332,20.168331
Algeria,126309,4258,833866,0,0,0,0,6541846,9371529,63,28.033886,1.659626
American Samoa,8021,40,25563,0,0,0,0,200000,288838,4,-14.270972,-170.132217
Angola,136585,5158,6274389,0,0,0,0,12000,17947,68,-11.202692,17.873887
Anguilla,4016,4,15150,0,0,6700,7407,200050,221173,2,18.220554,-63.068615
Antigua and Barbuda,16016,7,44284,200000,221092,56800,90632,712600,1080628,8,17.060816,-61.796428
Argentina,188641,588,2276470,0,0,213000,246047,11659410,14916040,94,-38.416097,-63.616672
Armenia,22095,5,420330,0,0,0,0,203275,299088,11,40.069099,45.038189
Australia,340865,1041,16189291,0,0,23264900,23898711,62162447,66978685,170,-25.274398,133.775136
Austria,82147,479,72259,0,0,1262900,1877836,6739770,9534867,41,47.516231,14.550072
Azerbaijan,30037,68,2575271,0,0,0,0,211200,333253,15,40.143105,47.576927
Azores Islands,5991,39,1215,0,0,0,0,154300,261222,3,37.7394207,-25.6686725
Bahamas (the),38120,409,54850,0,0,343398,476324,6727400,8384897,19,25.03428,-77.39628
Bangladesh,462696,161658,212532918,0,0,80000,159170,17384585,25906167,231,23.684994,90.356331
Barbados,16066,2,8681,0,0,0,0,5200,7474,8,13.193887,-59.543198
Belarus,28063,74,209591,150000,253216,0,0,177680,311157,14,53.709807,27.953389
Belgium,104330,4794,107903,0,0,1091000,1958720,4210132,5744449,52,50.503887,4.469936
Belize,32069,64,303525,0,0,0,0,557004,860993,16,17.189877,-88.49765
Benin,82217,1217,2116629,0,0,0,0,3315,5862,41,9.30769,2.315834
Bermuda,2003,4,0,0,0,125000,184124,300000,441898,1,32.321384,-64.75737
Bhutan,22054,273,87624,0,0,0,0,3500,5693,11,27.514162,90.433601
Bolivia (Plurinational State of),168652,1844,5951469,10000,15064,0,0,2299500,3330940,84,-16.290154,-63.588653
Bosnia and Herzegovina,56269,48,1680966,0,0,0,0,821580,1062668,28,43.915886,17.679076
Botswana,30123,507,326256,0,0,0,0,49000,58171,15,-22.328474,24.684866
Brazil,347278,5106,64882168,890510,1029858,544000,694446,22731670,25870526,173,-14.235004,-51.92528
Brunei Darussalam,1998,0,0,0,0,0,0,2000,3325,1,4.535277,114.727669
Bulgaria,88297,172,68338,0,0,73000,83556,1420304,1745178,44,42.733883,25.48583
Burkina Faso,90283,15285,13380210,6000,7841,0,0,181176,225117,45,12.238333,-1.561593
Burundi,120464,1152,4738006,0,0,0,0,15000,17151,60,-3.373056,29.918886
Cabo Verde,26091,264,222540,0,0,0,0,1100,1258,13,16.5388,-23.0418
Cambodia,90287,2530,24163819,0,0,0,0,1659110,2221278,45,12.565679,104.990963
Cameroon,96226,4198,669762,0,0,0,0,3700,5186,48,7.369722,12.354722
Canada,192599,1115,497396,78000,86226,9791430,12242482,28143012,35798018,96,56.130366,-106.346771
Canary Is,14039,56,8136,0,0,0,0,1869923,2315802,7,28.2915637,-16.6291304
Cayman Islands (the),14029,2,300,0,0,1540000,2213094,3496580,5022002,7,19.513469,-80.566956
Central African Republic,86328,1019,299983,0,0,0,0,0,0,43,6.611111,20.939444
Chad,102378,4744,11653105,0,0,0,0,11000,13332,51,15.454166,18.732207
Chile,154434,1339,5270003,3000,5969,9104000,11237211,36718060,45673966,77,-35.675147,-71.542969
China,1609394,143603,3019595442,0,0,8865400,10388285,594449240,776781430,802,35.86166,104.195397
Colombia,319180,6066,12904741,0,0,155000,229458,5687669,7700281,159,4.570868,-74.297333
Comoros (the),32111,98,724071,0,0,0,0,5000,5901,16,-11.875001,43.872219
Congo (the Democratic Republic of the),269010,17034,2727875,0,0,0,0,31000,39537,134,-4.0383,21.7587
Congo (the),66288,4580,723759,0,0,0,0,59,98,33,3.471339,17.764664
Cook Islands (the),15999,27,7024,0,0,0,0,0,0,8,-21.236736,-159.777671
Costa Rica,112206,305,2014717,0,0,132000,164071,1272890,1933015,56,9.748917,-83.753428
Croatia,60258,868,249667,9450000,9893945,6000,6633,13872150,14833745,30,45.1,15.2
Cuba,124276,181,22999693,0,0,242000,287651,14200697,19623088,62,21.521757,-77.781167
Cyprus,22015,67,2835,0,0,6000,8838,61340,69447,11,35.126413,33.429859
Czech Republic (the),64299,598,1626170,0,0,2019866,2964687,6668012,9591362,32,49.9881767,17.4636941
Denmark,24033,16,0,0,0,3090000,4851507,4946639,8017610,12,56.26392,9.501785
Djibouti,40105,309,1754998,0,0,0,0,2119,3874,20,11.825138,42.590275
Dominica,16043,98,113573,65000,115584,29300,34404,2153810,2534409,8,15.414999,-61.370976
Dominican Republic (the),134549,1820,4442880,0,0,430000,704128,2826935,4379446,67,18.735693,-70.162651
Ecuador,156573,2510,3281036,3344000,3775398,577500,665208,4039475,5222364,78,-1.831239,-78.183406
Egypt,56099,1707,322261,0,0,0,0,1543000,2798786,28,26.820553,30.802498
El Salvador,120394,2792,4029915,0,0,290000,443795,5130210,7122954,60,13.794185,-88.89653
Equatorial Guinea,2004,15,946,0,0,0,0,0,0,1,1.650801,10.267895
Eritrea,16014,3,5622688,0,0,0,0,5165,9688,8,15.179384,39.782334
Estonia,8040,11,100,0,0,26000,36075,130000,180377,4,58.595272,25.013607
Eswatini,30082,156,2641762,0,0,0,0,1789,3685,15,-26.522503,31.465866
Ethiopia,192572,3842,69053018,0,0,0,0,2073936,1653663,96,9.145,40.489673
Fiji,76297,218,1712120,0,0,50000,56450,1121746,1402543,38,-16.578193,179.414413
Finland,5985,0,400,0,0,0,0,10000,20738,3,61.92411,25.748151
France,294993,28257,4194153,2450000,3985446,17767500,26045420,47196200,66589139,147,46.227638,2.213749
French Guiana,6016,10,70144,0,0,0,0,0,0,3,3.933889,-53.125782
French Polynesia,8023,14,8926,0,0,0,0,13000,15880,4,-17.679742,-149.406843
Gabon,22063,117,100751,0,0,0,0,0,0,11,-0.803689,11.609444
Gambia (the),48200,242,671535,0,0,0,0,0,0,24,13.443182,-15.310139
Georgia,54203,76,906302,0,0,0,0,700856,1036006,27,42.315407,43.356892
Germany,172465,9918,578301,0,0,29906300,38250818,97889605,121297225,86,51.165691,10.451526
Germany Fed Rep,1991,5,0,0,0,0,0,56000,111419,1,48.7904472,11.4978895
Ghana,88370,1695,5072086,0,0,0,0,45500,70108,44,7.946527,-1.023194
Greece,138383,550,335760,0,0,8200,9513,11378059,17754585,69,39.074208,21.824312
Grenada,10005,39,61285,0,0,0,0,894500,1284295,5,12.262776,-61.604171
Guadeloupe,16020,9,114054,0,0,125000,163359,475000,621939,8,16.995971,-62.067641
Guam,13994,3,27477,0,0,50000,93788,751000,1339324,7,13.444304,144.793731
Guatemala,200849,4479,17027363,975000,1211597,0,0,3721632,4983593,100,15.783471,-90.230759
Guinea,68262,3669,567028,0,0,0,0,0,0,34,9.945587,-9.696645
Guinea-Bissau,32045,2975,304685,0,0,0,0,0,0,16,11.803749,-15.180413
Guyana,20097,34,1292248,0,0,0,0,677800,939716,10,4.860416,-58.93018
Haiti,202898,241297,16204016,13478063,16268697,200162,248712,12294691,14754117,101,18.971187,-72.285215
Honduras,140451,16037,10939569,0,0,150000,249346,4502379,7419000,70,15.199999,-86.241905
Hong Kong,58055,429,29576,0,0,0,0,1285290,1841131,29,22.396428,114.109497
Hungary,62188,907,406763,0,0,16000,24615,1375400,2149219,31,47.162494,19.503304
Iceland,11996,34,282,0,0,0,0,46289,76565,6,64.963051,-19.020835
