year,disaster_type,total_deaths,total_affected,total_occurences
1990,Drought,0,28285842,20
1990,Earthquake,42845,2596470,41
1990,Epidemic,2207,39065,18
1990,Extreme temperature,979,1000000,13
1990,Flood,2251,46654231,60
1990,Landslide,141,0,5
1990,Mass movement (dry),73,5115,2
1990,Storm,4604,17264598,135
1990,Volcanic activity,33,14265,2
1990,Wildfire,0,0,4
1991,Drought,2000,19102000,12
1991,Earthquake,2454,977815,29
1991,Epidemic,30682,2189107,43
1991,Extreme temperature,835,450,8
1991,Flood,5852,227799269,75
1991,Insect infestation,0,2000,1
1991,Landslide,728,88528,9
1991,Mass movement (dry),86,0,3
1991,Storm,146297,23303867,66
1991,Volcanic activity,683,1193164,10
1991,Wildfire,90,308,8
1992,Drought,0,28100000,11
1992,Earthquake,4033,768516,25
1992,Epidemic,6675,730936,28
1992,Extreme temperature,388,16000,7
1992,Flood,5315,19597794,59
1992,Insect infestation,0,0,1
1992,Landslide,712,77610,8
1992,Mass movement (dry),323,1469,4
1992,Storm,1344,18486817,76
1992,Volcanic activity,1,346653,5
1992,Wildfire,122,52190,8
1993,Drought,0,3531507,9
1993,Earthquake,10088,225272,20
1993,Epidemic,651,462088,4
1993,Extreme temperature,106,3000760,3
1993,Flood,6150,149250923,84
1993,Insect infestation,0,0,3
1993,Landslide,1578,155691,24
1993,Mass movement (dry),181,2711,3
1993,Storm,2965,15058771,107
1993,Volcanic activity,99,173759,6
1993,Wildfire,3,130,2
1994,Drought,0,95015000,12
1994,Earthquake,1242,791945,25
1994,Epidemic,2505,6576697,10
1994,Extreme temperature,341,1108184,9
1994,Flood,6771,129783171,88
1994,Landslide,307,309049,11
1994,Storm,4239,37040141,80
1994,Volcanic activity,101,232424,6
1994,Wildfire,84,3067413,13
1995,Drought,0,10871994,6
1995,Earthquake,7739,1940555,26
1995,Epidemic,4428,453392,25
1995,Extreme temperature,1730,535278,13
1995,Flood,7948,193441247,93
1995,Insect infestation,0,200,4
1995,Landslide,1521,1134395,16
1995,Storm,3763,14325620,80
1995,Volcanic activity,0,25876,5
1995,Wildfire,29,11839,7
1996,Drought,0,4942000,7
1996,Earthquake,576,5490181,13
1996,Epidemic,16887,697103,45
1996,Extreme temperature,300,200,5
1996,Flood,8047,182677013,92
1996,Landslide,1155,8936,24
1996,Storm,4581,27779056,76
1996,Volcanic activity,4,6572,5
1996,Wildfire,45,6211,4
1997,Drought,732,6973300,17
1997,Earthquake,3059,1297003,23
1997,Epidemic,10674,381794,62
1997,Extreme temperature,604,712180,13
1997,Flood,7685,44652702,95
1997,Insect infestation,0,0,1
1997,Landslide,801,33951,13
1997,Storm,6150,14683390,79
1997,Volcanic activity,53,7200,4
1997,Wildfire,266,53229,15
1998,Drought,20,14054335,20
1998,Earthquake,9573,3677863,30
1998,Epidemic,12932,921051,74
1998,Extreme temperature,3269,36386,12
1998,Flood,10653,293662685,94
1998,Insect infestation,0,0,1
1998,Landslide,1141,212813,22
1998,Storm,24935,31021434,88
1998,Volcanic activity,0,7808,4
1998,Wildfire,150,166604,18
1999,Drought,382,102337545,26
1999,Earthquake,21869,6856841,33
1999,Epidemic,6292,1123621,76
1999,Extreme temperature,771,725246,8
1999,Flood,34807,149086068,122
1999,Landslide,445,15291,18
1999,Storm,12270,25101853,106
1999,Volcanic activity,0,33555,5
1999,Wildfire,70,18830,21
2000,Drought,59,78025415,25
2000,Earthquake,217,2478559,30
2000,Epidemic,6980,1081848,113
2000,Extreme temperature,934,27686,30
2000,Flood,6025,73904936,157
2000,Insect infestation,0,0,2
2000,Landslide,1012,215157,28
2000,Mass movement (dry),11,0,1
2000,Storm,1354,15136491,102
2000,Volcanic activity,0,126626,5
2000,Wildfire,47,39035,30
2001,Drought,108,32581154,22
2001,Earthquake,21348,9711283,25
2001,Epidemic,8515,238632,69
2001,Extreme temperature,1787,213161,23
2001,Flood,4981,34546506,156
2001,Insect infestation,0,0,2
2001,Landslide,786,71037,24
2001,Storm,1911,31991261,105
2001,Volcanic activity,0,110491,6
2001,Wildfire,33,5739,14
2002,Drought,579,376956935,24
2002,Earthquake,1639,849703,37
2002,Epidemic,9187,1210368,112
2002,Extreme temperature,3369,103986,15
2002,Flood,4173,167764723,171
2002,Landslide,1100,304735,20
2002,Mass movement (dry),60,0,1
2002,Storm,1382,111162687,123
2002,Volcanic activity,200,278350,7
2002,Wildfire,6,26124,22
2003,Drought,9,67732075,14
2003,Earthquake,29617,4194467,40
2003,Epidemic,3097,134201,32
2003,Extreme temperature,74698,1840088,25
2003,Flood,3910,169427272,158
2003,Landslide,706,458648,21
2003,Storm,1049,11092669,86
2003,Volcanic activity,0,25000,2
2003,Wildfire,47,184333,14
2004,Drought,80,17971500,11
2004,Earthquake,227290,3147205,42
2004,Epidemic,3378,164214,43
2004,Extreme temperature,255,2139880,16
2004,Flood,6982,116990815,128
2004,Insect infestation,0,0,12
2004,Landslide,313,12377,15
2004,Mass movement (dry),44,353,1
2004,Storm,6547,21382963,124
2004,Volcanic activity,2,53148,5
2004,Wildfire,14,20519,8
2005,Drought,149,29550990,20
2005,Earthquake,76241,6187464,25
2005,Epidemic,3799,442519,56
2005,Extreme temperature,2627,63700,40
2005,Flood,5742,75026809,191
2005,Landslide,664,9554,13
2005,Storm,5251,49124384,130
2005,Volcanic activity,3,341000,8
2005,Wildfire,45,6907,13
2006,Drought,134,23857000,9
2006,Earthquake,6692,3858839,24
2006,Epidemic,6381,285282,54
2006,Extreme temperature,3749,300,14
2006,Flood,5843,30309364,226
2006,Insect infestation,0,0,1
2006,Landslide,1638,432156,20
2006,Mass movement (dry),11,5,1
2006,Storm,4329,67109232,76
2006,Volcanic activity,5,378611,12
2006,Wildfire,13,2062,9
2007,Drought,0,5278144,11
2007,Earthquake,780,1382384,21
2007,Epidemic,5482,474368,35
2007,Extreme temperature,1086,988088,25
2007,Flood,8596,178879616,217
2007,Landslide,271,9002,10
2007,Storm,6024,23986730,104
2007,Volcanic activity,11,50963,6
2007,Wildfire,148,1785017,18
2008,Drought,8,34068000,16
2008,Earthquake,87918,47512472,23
2008,Epidemic,6675,413305,41
2008,Extreme temperature,1740,79171204,16
2008,Flood,4007,44910761,165
2008,Landslide,504,5149,12
2008,Mass movement (dry),120,697,3
2008,Storm,140985,15651774,112
2008,Volcanic activity,16,39958,7
2008,Wildfire,86,58668,5
2009,Drought,0,86295500,18
2009,Earthquake,1893,3221122,22
2009,Epidemic,4896,492102,44
2009,Extreme temperature,1434,856147,20
2009,Flood,3627,59734933,151
2009,Insect infestation,0,500000,1
2009,Landslide,723,44754,29
2009,Mass movement (dry),36,3028,1
2009,Storm,3287,50582778,87
2009,Volcanic activity,0,47537,2
2009,Wildfire,190,11574,9
2010,Drought,20000,59147657,21
2010,Earthquake,226733,6936980,24
2010,Epidemic,12143,1847517,44
2010,Extreme temperature,57088,72761,28
2010,Flood,8356,188794434,184
2010,Insect infestation,0,2300000,1
2010,Landslide,3427,2459905,32
2010,Storm,1564,8931015,94
2010,Volcanic activity,323,170661,6
2010,Wildfire,166,30491,7
2011,Drought,0,27848515,16
2011,Earthquake,20946,1747534,30
2011,Epidemic,3174,200785,24
2011,Extreme temperature,435,4344030,15
2011,Flood,6163,136447723,156
2011,Landslide,309,7253,17
2011,Storm,3103,38576882,84
2011,Volcanic activity,3,48804,6
2011,Wildfire,10,14707,8
2012,Drought,0,28363085,18
2012,Earthquake,711,2859922,27
2012,Epidemic,1887,156451,25
2012,Extreme temperature,1883,611225,52
2012,Flood,3544,63999519,136
2012,Landslide,501,3716,13
2012,Mass movement (dry),16,0,1
2012,Storm,3105,20266781,91
2012,Volcanic activity,0,10000,1
2012,Wildfire,21,5396,6
2013,Drought,0,10504904,9
2013,Earthquake,1120,7117775,29
2013,Epidemic,534,316060,23
2013,Extreme temperature,1772,190016,13
2013,Flood,9819,31999894,148
2013,Impact,0,301491,1
2013,Landslide,235,1034,11
2013,Mass movement (dry),46,2,1
2013,Storm,8598,48852000,105
2013,Volcanic activity,0,93846,3
2013,Wildfire,35,8831,10
2014,Animal accident,12,5,1
2014,Drought,0,69695761,20
2014,Earthquake,774,3169208,26
2014,Epidemic,12922,192916,23
2014,Extreme temperature,1168,1227698,17
2014,Flood,3536,41738088,137
2014,Landslide,960,18747,15
2014,Storm,1432,25790698,99
2014,Volcanic activity,102,179654,6
2014,Wildfire,16,11687,4
2015,Drought,35,382985115,27
2015,Earthquake,9550,7228686,23
2015,Epidemic,1434,91893,14
2015,Extreme temperature,7425,1260553,12
2015,Flood,3479,27421742,161
2015,Landslide,1006,50228,20
2015,Mass movement (dry),13,0,1
2015,Storm,1288,10438428,121
2015,Volcanic activity,0,956092,6
2015,Wildfire,78,618693,13
2016,Drought,0,29526000,14
2016,Earthquake,1311,1185081,30
2016,Epidemic,2358,141286,25
2016,Extreme temperature,490,908120,12
2016,Flood,4397,79219326,159
2016,Landslide,357,269473,13
2016,Storm,1761,94036842,86
2016,Wildfire,40,158490,10
2017,Drought,0,18561874,12
2017,Earthquake,1012,2006792,22
2017,Epidemic,2140,359031,27
2017,Extreme temperature,359,1827759,10
2017,Flood,3337,55619288,127
2017,Landslide,2312,201573,25
2017,Mass movement (dry),8,200,1
2017,Storm,2560,25405646,130
2017,Volcanic activity,0,144349,2
2017,Wildfire,178,88278,15
2018,Drought,0,25484345,17
2018,Earthquake,5061,3309144,20
2018,Epidemic,3223,203319,16
2018,Extreme temperature,715,396768,27
2018,Flood,2881,34256857,128
2018,Landslide,265,52158,12
2018,Mass movement (dry),17,0,1
2018,Storm,1707,18104770,96
2018,Volcanic activity,914,1915398,9
2018,Wildfire,221,261287,10
2019,Drought,85,22722593,15
2019,Earthquake,261,1642044,31
2019,Epidemic,10733,1479160,37
2019,Extreme temperature,2909,161382,21
2019,Flood,5149,34803936,195
2019,Insect infestation,0,0,8
2019,Landslide,727,174099,25
2019,Storm,2514,38109842,91
2019,Volcanic activity,21,48823,4
2019,Wildfire,116,10056764,14
2020,Drought,45,21281073,10
2020,Earthquake,196,385432,16
2020,Epidemic,247,111929,7
2020,Extreme temperature,6343,30000,5
2020,Flood,6185,34353355,202
2020,Insect infestation,0,0,2
2020,Landslide,514,179771,19
2020,Storm,1758,41272654,128
2020,Volcanic activity,1,775773,4
2020,Wildfire,75,269463,9
2021,Drought,0,62543704,18
2021,Earthquake,2742,1096138,28
2021,Epidemic,4045,1545469,7
2021,Extreme temperature,1044,0,3
2021,Flood,4166,29895903,222
2021,Glacial lake outburst,250,24,2
2021,Landslide,224,5593,12
2021,Storm,1876,17614459,119
2021,Volcanic activity,85,493517,9
2021,Wildfire,128,716754,19
2022,Drought,2465,21465587,13
2022,Earthquake,1280,1184722,22
2022,Epidemic,109,299840,8
2022,Extreme temperature,58,32005,6
2022,Flood,6183,48067132,123
2022,Glacial lake outburst,12,0,1
2022,Landslide,174,35234,8
2022,Storm,955,4153296,67
2022,Volcanic activity,6,94844,4
2022,Wildfire,73,229150,14
